,FromNodeId,ToNodeId,modularity_from,modularity_to
1384,7195,9407087,54,37
1385,9506110,9407087,54,37
1389,9608015,9407087,2,37
1407,8076,9407087,34,37
1408,9912271,9407087,37,37
1409,8081,9407087,34,37
1440,9909209,9407087,11,37
1444,9610026,9407087,37,37
1446,9202,9407087,34,37
1451,9501075,9407087,16,37
1466,9507060,9407087,16,37
1480,9812072,9407087,37,37
1487,9510183,9407087,37,37
1492,11193,9407087,34,37
1495,11197,9407087,37,37
1503,9805051,9407087,37,37
1534,9708168,9407087,37,37
1536,12213,9407087,54,37
1563,9711143,9407087,37,37
1579,103067,9407087,37,37
1603,104037,9407087,37,37
1639,9506148,9407087,37,37
1641,106048,9407087,3,37
1648,106117,9407087,34,37
1679,9503057,9407087,2,37
1707,110055,9407087,0,37
1719,9505183,9407087,8,37
1732,111284,9407087,54,37
1734,112040,9407087,37,37
1778,205060,9407087,37,37
1790,206063,9407087,37,37
1796,207106,9407087,37,37
1807,208048,9407087,37,37
1822,209230,9407087,37,37
1833,210157,9407087,2,37
1834,210183,9407087,37,37
1837,211170,9407087,37,37
1838,210238,9407087,37,37
1848,211123,9407087,37,37
1854,211245,9407087,37,37
1855,211259,9407087,37,37
1860,9712110,9407087,37,37
1863,211291,9407087,37,37
1865,212010,9407087,37,37
1872,212032,9407087,37,37
1882,212253,9407087,37,37
1885,212313,9407087,37,37
1888,9601013,9407087,6,37
1897,301136,9407087,37,37
1904,302191,9407087,37,37
1958,9509106,9407087,2,37
2049,9708164,9407087,2,37
2089,9806123,9407087,54,37
2112,9903268,9407087,2,37
2120,9908199,9407087,2,37
2124,9501030,9408099,2,37
2125,9505105,9408099,54,37
2126,9505162,9408099,54,37
2127,9506112,9408099,54,37
2130,9510234,9408099,54,37
2132,9606017,9408099,37,37
2133,9607163,9408099,37,37
2134,9607207,9408099,37,37
2136,9609239,9408099,37,37
2137,9611137,9408099,54,37
2138,9702094,9408099,37,37
2140,9712028,9408099,54,37
2144,9603136,9408099,37,37
2146,9505186,9408099,2,37
2147,9612128,9408099,0,37
2150,9502072,9408099,54,37
2151,9807087,9408099,54,37
2152,9605150,9408099,54,37
2153,9608111,9408099,54,37
2158,9411149,9408099,37,37
2159,9503179,9408099,37,37
2160,9505006,9408099,37,37
2161,9505062,9408099,37,37
2162,9505075,9408099,37,37
2163,9505100,9408099,37,37
2164,9505150,9408099,37,37
2165,9511154,9408099,37,37
2167,9603042,9408099,37,37
2168,9709062,9408099,54,37
2169,9803194,9408099,4,37
2171,9605199,9408099,54,37
2175,9611063,9408099,37,37
2176,9706110,9408099,37,37
2179,9411057,9408099,37,37
2180,9604034,9408099,37,37
2181,9611190,9408099,37,37
2182,9705131,9408099,54,37
2183,9802067,9408099,37,37
2185,9905111,9408099,34,37
2187,9503121,9408099,37,37
2191,9803232,9408099,37,37
2196,9912152,9408099,54,37
2197,9711107,9408099,2,37
2200,9503030,9408099,54,37
2201,9710046,9408099,2,37
2203,9509161,9408099,37,37
2204,9510204,9408099,37,37
2215,9504102,9408099,37,37
2216,9507008,9408099,37,37
2217,9509176,9408099,37,37
2220,9705057,9408099,37,37
2224,9706099,9408099,37,37
2230,9711201,9408099,54,37
2231,9411102,9408099,37,37
2236,9512161,9408099,37,37
2240,9701123,9408099,37,37
2241,9706050,9408099,37,37
2244,9802007,9408099,37,37
2251,9707185,9408099,11,37
2253,9503163,9408099,37,37
2254,9510222,9408099,37,37
2255,9604004,9408099,37,37
2257,9707244,9408099,37,37
2258,9805172,9408099,37,37
2263,9610162,9408099,54,37
2265,9812061,9408099,54,37
2267,9509066,9408099,37,37
2269,9704114,9408099,37,37
2273,9510182,9408099,54,37
2278,9711102,9408099,37,37
2279,9802051,9408099,2,37
2286,9705169,9408099,54,37
2287,9803072,9408099,54,37
2289,9909061,9408099,31,37
2291,9706082,9408099,37,37
2298,9610251,9408099,54,37
2300,9707158,9408099,37,37
2303,9611184,9408099,54,37
2305,9503115,9408099,37,37
2310,9605032,9408099,54,37
2311,9908171,9408099,34,37
2313,9704170,9408099,37,37
2314,9710116,9408099,37,37
2315,9712005,9408099,37,37
2322,9807171,9408099,2,37
2328,2160,9408099,34,37
2333,9701069,9408099,37,37
2338,9602174,9408099,37,37
2340,2222,9408099,37,37
2342,9703110,9408099,37,37
2343,9707192,9408099,37,37
2349,9703210,9408099,37,37
2354,9604199,9408099,37,37
2364,9504150,9408099,16,37
2371,9708044,9408099,37,37
2372,9806159,9408099,34,37
2384,9808169,9408099,8,37
2387,9411028,9408099,25,37
2396,9510129,9408099,37,37
2397,9703072,9408099,37,37
2406,9806009,9408099,37,37
2407,9910222,9408099,16,37
2409,9607202,9408099,37,37
2411,9609219,9408099,37,37
2413,9805096,9408099,34,37
2416,9501057,9408099,6,37
2418,9707209,9408099,6,37
2421,4063,9408099,34,37
2430,9707120,9408099,37,37
2434,9704104,9408099,37,37
2435,9705199,9408099,37,37
2437,9709109,9408099,11,37
2438,9801024,9408099,11,37
2446,9608054,9408099,37,37
2447,9603086,9408099,2,37
2448,9507115,9408099,54,37
2454,9504006,9408099,54,37
2463,9503086,9408099,37,37
2464,9505004,9408099,37,37
2466,9509175,9408099,37,37
2472,9511053,9408099,2,37
2473,9812196,9408099,2,37
2485,9612192,9408099,54,37
2488,5247,9408099,37,37
2497,9907123,9408099,37,37
2519,9511126,9408099,37,37
2520,9711108,9408099,37,37
2525,9905224,9408099,37,37
2528,9912133,9408099,37,37
2533,9609041,9408099,37,37
2536,9609145,9408099,37,37
2538,9610156,9408099,37,37
2544,9704174,9408099,37,37
2545,9705232,9408099,37,37
2546,9708118,9408099,37,37
2548,9804105,9408099,37,37
2556,9911022,9408099,37,37
2560,9504034,9408099,54,37
2584,7170,9408099,2,37
2588,9705087,9408099,11,37
2589,9506110,9408099,54,37
2592,9608015,9408099,2,37
2608,8081,9408099,34,37
2636,9501075,9408099,16,37
2645,9507060,9408099,16,37
2657,9812072,9408099,37,37
2661,9510183,9408099,37,37
2666,11197,9408099,37,37
2674,9805051,9408099,37,37
2697,9708168,9408099,37,37
2716,9711143,9408099,37,37
2771,9506148,9408099,37,37
2781,106193,9408099,16,37
2803,9503057,9408099,2,37
2823,110055,9408099,0,37
2841,112040,9408099,37,37
2872,205060,9408099,37,37
2883,206063,9408099,37,37
2912,210157,9408099,2,37
2922,211123,9408099,37,37
2927,211245,9408099,37,37
2928,211259,9408099,37,37
2935,211291,9408099,37,37
2937,212010,9408099,37,37
2943,212032,9408099,37,37
2951,212253,9408099,37,37
2955,9601013,9408099,6,37
2962,301136,9408099,37,37
2967,302191,9408099,37,37
3004,9509106,9408099,2,37
3070,9708164,9408099,2,37
3099,9806123,9408099,54,37
3119,9903268,9408099,2,37
3126,9908199,9408099,2,37
3130,9503124,9501030,2,2
3132,9505162,9501030,54,2
3135,9508094,9501030,2,2
3136,9508155,9501030,54,2
3138,9510234,9501030,54,2
3139,9511030,9501030,54,2
3140,9601108,9501030,54,2
3141,9602114,9501030,54,2
3142,9605184,9501030,54,2
3143,9611137,9501030,54,2
3144,9705220,9501030,37,2
3145,9511043,9501030,2,2
3151,9504027,9501030,2,2
3152,9508154,9501030,2,2
3154,9611214,9501030,2,2
3155,9806199,9501030,2,2
3156,9611203,9501030,2,2
3157,9710046,9501030,2,2
3158,9611159,9501030,2,2
3159,9803131,9501030,34,2
3160,9607201,9501030,2,2
3161,9711201,9501030,54,2
3163,9610148,9501030,2,2
3165,9510200,9501030,2,2
3166,9604065,9501030,2,2
3167,9506126,9501030,2,2
3168,9510086,9501030,2,2
3169,9603081,9501030,2,2
3170,9703136,9501030,2,2
3171,9711102,9501030,37,2
3172,9802051,9501030,2,2
3173,9707093,9501030,2,2
3175,9601036,9501030,54,2
3176,9607050,9501030,2,2
3177,9608117,9501030,2,2
3178,9609176,9501030,54,2
3180,9605032,9501030,54,2
3183,9507090,9501030,2,2
3184,9507160,9501030,2,2
3188,9508091,9501030,2,2
3190,9509132,9501030,2,2
3191,9505073,9501030,2,2
3192,9512181,9501030,2,2
3194,9508177,9501030,2,2
3196,9511053,9501030,2,2
3197,9911200,9501030,2,2
3199,9601057,9501030,2,2
3200,9612192,9501030,54,2
3201,9506057,9501030,2,2
3203,9506160,9501030,2,2
3204,9506194,9501030,2,2
3208,9504047,9501030,2,2
3228,205306,9501030,2,2
3231,210134,9501030,2,2
3235,9508058,9501030,2,2
3237,9509106,9501030,2,2
3251,9708164,9501030,2,2
3254,9811093,9501030,2,2
3258,9505105,9503124,54,2
3259,9505162,9503124,54,2
3262,9507050,9503124,54,2
3263,9507158,9503124,54,2
3264,9508094,9503124,2,2
3265,9508155,9503124,54,2
3267,9510225,9503124,54,2
3268,9510234,9503124,54,2
3269,9511030,9503124,54,2
3271,9601108,9503124,54,2
3272,9602022,9503124,54,2
3273,9602114,9503124,54,2
3274,9603150,9503124,54,2
3275,9605184,9503124,54,2
3277,9606017,9503124,37,2
3278,9609239,9503124,37,2
3279,9611137,9503124,54,2
3283,9705220,9503124,37,2
3292,9604090,9503124,0,2
3293,9510135,9503124,2,2
3294,9610043,9503124,2,2
3295,9612115,9503124,2,2
3296,9710231,9503124,2,2
3297,9712072,9503124,2,2
3298,9805069,9503124,2,2
3300,9604035,9503124,2,2
3301,9604179,9503124,2,2
3302,9701042,9503124,2,2
3304,9510017,9503124,2,2
3306,9606139,9503124,54,2
3308,9507012,9503124,54,2
3309,9609017,9503124,54,2
3310,9712186,9503124,65,2
3312,9802085,9503124,2,2
3313,9908038,9503124,2,2
3317,9510209,9503124,0,2
3318,9602052,9503124,2,2
3319,9605150,9503124,54,2
3325,9910096,9503124,34,2
3328,9505150,9503124,37,2
3329,9511222,9503124,37,2
3332,9809022,9503124,34,2
3333,9808141,9503124,4,2
3334,9904207,9503124,4,2
3336,9511043,9503124,2,2
3337,9611050,9503124,2,2
3338,9709062,9503124,54,2
3339,9803194,9503124,4,2
3342,9507121,9503124,54,2
3343,9508143,9503124,2,2
3344,9511164,9503124,37,2
3345,9903224,9503124,1,2
3347,9604055,9503124,2,2
3348,9611190,9503124,37,2
3349,9802067,9503124,37,2
3351,9710065,9503124,2,2
3354,9612095,9503124,2,2
3358,9902131,9503124,34,2
3359,9612126,9503124,2,2
3361,9702133,9503124,2,2
3365,9908105,9503124,2,2
3367,9703030,9503124,2,2
3368,9606169,9503124,54,2
3370,9702093,9503124,54,2
3375,9605053,9503124,54,2
3376,9606122,9503124,54,2
3378,9912164,9503124,2,2
3380,9504027,9503124,2,2
3381,9508154,9503124,2,2
3385,9704145,9503124,54,2
3386,9707126,9503124,54,2
3389,9711107,9503124,2,2
3390,9803265,9503124,2,2
3396,9906018,9503124,54,2
3400,9611072,9503124,2,2
3401,9512059,9503124,2,2
3402,9612121,9503124,2,2
3403,9903166,9503124,16,2
3404,9603133,9503124,54,2
3406,9611214,9503124,2,2
3407,9701019,9503124,2,2
3408,9801182,9503124,2,2
3409,9806199,9503124,2,2
3410,9906039,9503124,54,2
3412,9611203,9503124,2,2
3413,9710046,9503124,2,2
3414,9701165,9503124,54,2
3416,9608024,9503124,2,2
3418,9806108,9503124,2,2
3420,9707123,9503124,37,2
3421,9701125,9503124,2,2
3422,9511080,9503124,2,2
3423,9712130,9503124,2,2
3431,9809204,9503124,2,2
3432,9811101,9503124,2,2
3433,9605136,9503124,54,2
3435,9512077,9503124,2,2
3436,9601003,9503124,2,2
3437,9611159,9503124,2,2
3438,9701166,9503124,2,2
3439,9803131,9503124,34,2
3440,9607201,9503124,2,2
3441,9601150,9503124,2,2
3442,9711201,9503124,54,2
3444,9507048,9503124,2,2
3445,9512062,9503124,2,2
3447,9610148,9503124,2,2
3448,9906142,9503124,2,2
3451,9803116,9503124,2,2
3456,9712115,9503124,2,2
3457,9705162,9503124,2,2
3459,9702101,9503124,2,2
3460,9712117,9503124,2,2
3461,9707244,9503124,37,2
3462,9704098,9503124,2,2
3463,9705046,9503124,2,2
3464,9708119,9503124,2,2
3467,9709002,9503124,2,2
3468,9803231,9503124,2,2
3470,9904095,9503124,2,2
3471,9910053,9503124,2,2
3472,9604103,9503124,2,2
3473,9603127,9503124,2,2
3474,9605200,9503124,54,2
3476,9604129,9503124,54,2
3478,9504081,9503124,2,2
3479,9612204,9503124,2,2
3480,9704127,9503124,2,2
3483,9712004,9503124,2,2
3486,9812061,9503124,54,2
3487,9611202,9503124,2,2
3492,9705128,9503124,2,2
3495,9911068,9503124,2,2
3496,9510182,9503124,54,2
3497,9510200,9503124,2,2
3498,9602064,9503124,2,2
3499,9603194,9503124,2,2
3500,9604065,9503124,2,2
3504,2016,9503124,2,2
3505,9506126,9503124,2,2
3506,9510086,9503124,2,2
3508,9705091,9503124,2,2
3509,9803209,9503124,2,2
3510,9902051,9503124,2,2
3512,9603081,9503124,2,2
3513,9604196,9503124,11,2
3514,9702201,9503124,54,2
3515,9703136,9503124,2,2
3517,9711102,9503124,37,2
3518,9802051,9503124,2,2
3520,9607112,9503124,2,2
3524,9710119,9503124,2,2
3525,9801132,9503124,54,2
3527,9903124,9503124,54,2
3528,2043,9503124,6,2
3529,9803072,9503124,54,2
3535,9909061,9503124,31,2
3537,9810099,9503124,3,2
3543,2094,9503124,31,2
3546,9707093,9503124,2,2
3547,9707158,9503124,37,2
3548,9707250,9503124,2,2
3551,9601036,9503124,54,2
3552,9607050,9503124,2,2
3554,9608117,9503124,2,2
3555,9609176,9503124,54,2
3564,9803039,9503124,34,2
3568,9605032,9503124,54,2
3572,9807171,9503124,2,2
3577,9806120,9503124,2,2
3579,9603116,9503124,2,2
3580,9604139,9503124,2,2
3586,9606193,9503124,2,2
3591,9901050,9503124,2,2
3592,9512031,9503124,2,2
3593,9602014,9503124,2,2
3594,9612223,9503124,2,2
3603,9712239,9503124,34,2
3604,9802047,9503124,34,2
3605,9504147,9503124,2,2
3606,9510229,9503124,2,2
3607,9512078,9503124,2,2
3608,9603109,9503124,2,2
3609,9612087,9503124,2,2
3612,9712253,9503124,2,2
3613,9510161,9503124,2,2
3614,9511173,9503124,2,2
3615,9603061,9503124,2,2
3618,9707087,9503124,2,2
3631,9507090,9503124,2,2
3632,9510097,9503124,2,2
3636,9505053,9503124,54,2
3637,9507160,9503124,2,2
3643,9512196,9503124,54,2
3644,9512219,9503124,54,2
3645,9603009,9503124,2,2
3648,9604156,9503124,2,2
3651,9808100,9503124,2,2
3663,3086,9503124,0,2
3666,9706192,9503124,2,2
3676,9609217,9503124,2,2
3678,9806240,9503124,2,2
3690,9701139,9503124,2,2
3691,9704041,9503124,2,2
3692,9704158,9503124,2,2
3693,9705055,9503124,2,2
3694,9903217,9503124,2,2
3695,9603123,9503124,2,2
3698,9604041,9503124,37,2
3702,9806009,9503124,37,2
3703,9807127,9503124,2,2
3712,9902210,9503124,2,2
3716,9605085,9503124,2,2
3725,4074,9503124,2,2
3727,9509132,9503124,2,2
3729,9711138,9503124,2,2
3733,9603126,9503124,2,2
3735,9610105,9503124,54,2
3741,9505073,9503124,2,2
3747,9512181,9503124,2,2
3749,9603086,9503124,2,2
3750,9705130,9503124,2,2
3754,9709107,9503124,2,2
3757,9612162,9503124,2,2
3761,9707079,9503124,2,2
3767,9508177,9503124,2,2
3771,9511053,9503124,2,2
3777,9812196,9503124,2,2
3778,9911200,9503124,2,2
3783,5145,9503124,2,2
3785,9909227,9503124,2,2
3787,9601057,9503124,2,2
3791,9612192,9503124,54,2
3797,9506057,9503124,2,2
3820,9506160,9503124,2,2
3821,9506194,9503124,2,2
3826,9504047,9503124,2,2
3828,9706168,9503124,2,2
3832,7170,9503124,2,2
3836,9610082,9503124,2,2
3838,9706047,9503124,37,2
3839,7195,9503124,54,2
3843,9511064,9503124,2,2
3846,9608015,9503124,2,2
3847,9808192,9503124,16,2
3864,9506200,9503124,2,2
3866,9509148,9503124,2,2
3876,9139,9503124,34,2
3889,9507060,9503124,16,2
3909,9510183,9503124,37,2
3910,9506150,9503124,37,2
3924,9712084,9503124,2,2
3934,9707099,9503124,2,2
3943,101126,9503124,2,2
3944,9702108,9503124,2,2
3949,9708037,9503124,2,2
3956,101219,9503124,3,2
3959,102114,9503124,2,2
3960,9707203,9503124,2,2
3962,102140,9503124,25,2
3967,103115,9503124,37,2
3990,9811019,9503124,2,2
4009,107140,9503124,25,2
4044,110055,9503124,0,2
4046,110067,9503124,19,2
4058,110274,9503124,2,2
4077,111284,9503124,54,2
4103,203048,9503124,2,2
4108,203157,9503124,54,2
4112,204089,9503124,54,2
4126,205306,9503124,2,2
4136,207130,9503124,31,2
4160,210134,9503124,2,2
4164,210224,9503124,4,2
4188,302191,9503124,37,2
4192,303185,9503124,16,2
4207,9508058,9503124,2,2
4210,9509106,9503124,2,2
4271,9610125,9503124,2,2
4292,9705188,9503124,2,2
4308,9708164,9503124,2,2
4312,9709172,9503124,2,2
4347,9806123,9503124,54,2
4353,9811093,9503124,2,2
4358,9903268,9503124,2,2
4360,9906044,9503124,2,2
4365,9908199,9503124,2,2
4371,9505105,9504090,54,54
4372,9505162,9504090,54,54
4373,9506112,9504090,54,54
4374,9507050,9504090,54,54
4375,9507158,9504090,54,54
4376,9508155,9504090,54,54
4378,9510225,9504090,54,54
4379,9511030,9504090,54,54
4380,9601108,9504090,54,54
4381,9602114,9504090,54,54
4382,9603161,9504090,54,54
4384,9611137,9504090,54,54
4386,9705220,9504090,37,54
4387,9710230,9504090,4,54
4390,9510135,9504090,2,54
4391,9510017,9504090,2,54
4392,9606139,9504090,54,54
4394,9507012,9504090,54,54
4395,9510227,9504090,54,54
4398,9807087,9504090,54,54
4399,9906200,9504090,37,54
4400,9910170,9504090,37,54
4401,9602052,9504090,2,54
4403,9505150,9504090,37,54
4404,9603042,9504090,37,54
4406,9511222,9504090,37,54
4408,9511043,9504090,2,54
4409,9611050,9504090,2,54
4410,9507121,9504090,54,54
4411,9508143,9504090,2,54
4412,9511164,9504090,37,54
4413,9706110,9504090,37,54
4416,9604034,9504090,37,54
4417,9611190,9504090,37,54
4418,9704018,9504090,2,54
4419,9705131,9504090,54,54
4421,9810201,9504090,37,54
4422,9811139,9504090,37,54
4429,9906018,9504090,54,54
4430,9512059,9504090,2,54
4431,9611214,9504090,2,54
4432,9701019,9504090,2,54
4433,9806199,9504090,2,54
4434,9611203,9504090,2,54
4435,9710046,9504090,2,54
4436,9608024,9504090,2,54
4437,9512077,9504090,2,54
4438,9601003,9504090,2,54
4442,9512062,9504090,2,54
4444,9512161,9504090,37,54
4445,9704098,9504090,2,54
4446,9705046,9504090,2,54
4450,1206,9504090,0,54
4452,9603170,9504090,54,54
4453,9605200,9504090,54,54
4454,9610162,9504090,54,54
4456,9604129,9504090,54,54
4457,9812061,9504090,54,54
4459,9911068,9504090,2,54
4460,9510182,9504090,54,54
4461,9510200,9504090,2,54
4462,9604065,9504090,2,54
4464,9510086,9504090,2,54
4465,9702201,9504090,54,54
4466,9703136,9504090,2,54
4467,9802051,9504090,2,54
4468,9903124,9504090,54,54
