Id,Label,timeset,modularity_class,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks
9406128,9406128,,2,29,5,34,3,0.52381,0.590909,4167.191686,0.000909
9205081,9205081,,2,77,0,77,0,0,0,0,0.001534
9207053,9207053,,2,102,0,102,0,0,0,0,0.002043
9208055,9208055,,2,32,1,33,1,1,1,3695.114675,0.001478
9209016,9209016,,2,76,0,76,0,0,0,0,0.001492
9211056,9211056,,2,68,4,72,1,1,1,1177.228364,0.001461
9303057,9303057,,2,54,10,64,2,0.857143,0.916667,3885.872985,0.001173
9305142,9305142,,2,87,4,91,2,0.833333,0.9,6159.981899,0.000771
9306052,9306052,,2,101,6,107,3,0.608696,0.702381,30035.285627,0.000558
9306125,9306125,,2,6,3,9,3,0.457143,0.53125,66.621604,0.000097
9311120,9311120,,2,60,7,67,3,0.538462,0.634921,1486.463038,0.000469
9402032,9402032,,2,240,4,244,3,0.488889,0.55303,12134.721476,0.001682
9406105,9406105,,2,87,9,96,3,0.553571,0.629032,2405.122984,0.000468
9406198,9406198,,2,41,25,66,3,0.6,0.729167,60124.589985,0.000317
9407021,9407021,,2,9,9,18,3,0.611111,0.69697,284.363032,0.00011
9407111,9407111,,2,38,7,45,3,0.580645,0.675926,4454.729865,0.000777
9408040,9408040,,2,31,16,47,5,0.351724,0.411193,59569.135143,0.000137
9408074,9408074,,37,290,9,299,5,0.333333,0.399691,189817.847322,0.001489
9408083,9408083,,2,82,27,109,6,0.299492,0.391667,145711.749008,0.000724
9409021,9409021,,2,101,14,115,4,0.380769,0.46633,35475.922845,0.000252
9410167,9410167,,2,748,25,773,6,0.317308,0.399369,229945.913925,0.003287
9410210,9410210,,2,3,6,9,3,0.534884,0.608696,167.133061,0.000054
9412184,9412184,,2,426,36,462,5,0.385027,0.472685,368814.456002,0.001503
9205027,9205027,,2,191,0,191,0,0,0,0,0.002508
9406012,9406012,,2,13,0,13,0,0,0,0,0.000535
9411149,9411149,,37,411,11,422,6,0.266836,0.32627,40211.410216,0.001468
9411178,9411178,,2,30,17,47,6,0.295217,0.351688,206000.798474,0.000715
9201059,9201059,,2,47,0,47,0,0,0,0,0.000957
9309152,9309152,,2,8,3,11,5,0.301282,0.351773,17506.770866,0.000445
9310067,9310067,,54,9,3,12,2,0.8,0.875,4192.412233,0.000044
9412115,9412115,,54,6,14,20,4,0.443182,0.522436,8535.542163,0.000032
9501068,9501068,,2,385,6,391,3,0.476923,0.548387,11581.518123,0.001691
9502072,9502072,,54,151,23,174,7,0.258398,0.329893,42472.596008,0.00058
9504027,9504027,,2,142,20,162,7,0.274966,0.323282,154925.006978,0.000914
9504047,9504047,,2,158,22,180,8,0.26065,0.312658,59749.948796,0.001456
9304154,9304154,,2,229,9,238,2,0.714286,0.8,12425.284671,0.002328
9501022,9501022,,2,36,4,40,6,0.2657,0.315909,591.571618,0.000214
9502057,9502057,,2,33,20,53,7,0.271287,0.337197,38191.364987,0.000136
9503179,9503179,,37,138,18,156,6,0.273399,0.34542,13834.54106,0.000352
9308083,9308083,,54,104,4,108,1,1,1,3830.739512,0.000296
9411048,9411048,,37,314,2,316,6,0.26971,0.309231,5234.420562,0.000831
9411057,9411057,,37,268,2,270,6,0.262626,0.297308,616.334309,0.000761
9501111,9501111,,54,19,7,26,5,0.335025,0.399116,21897.254698,0.000059
9502077,9502077,,54,68,24,92,5,0.378378,0.468498,99209.653401,0.000143
9503163,9503163,,37,144,9,153,7,0.240353,0.291372,5046.215003,0.000367
9504006,9504006,,54,145,23,168,8,0.242316,0.317208,73583.804294,0.000291
9504034,9504034,,54,111,9,120,8,0.22617,0.283431,4035.619133,0.000191
9505023,9505023,,54,35,14,49,8,0.235338,0.28302,15334.997681,0.000365
9505053,9505053,,54,136,6,142,8,0.232156,0.269761,14236.488203,0.001029
9505062,9505062,,37,174,14,188,7,0.249169,0.317122,15822.197501,0.000421
9302103,9302103,,54,133,1,134,1,1,1,1361.492217,0.000742
9305069,9305069,,2,29,2,31,3,0.457143,0.510417,93.328349,0.00038
9406032,9406032,,54,13,8,21,4,0.437956,0.5,4396.806568,0.000093
9409188,9409188,,37,87,2,89,2,0.75,0.833333,3162.915779,0.000123
9406055,9406055,,54,68,15,83,2,0.741935,0.826087,24302.210623,0.000166
9408036,9408036,,54,64,8,72,5,0.347709,0.418088,5911.127323,0.000546
9411234,9411234,,54,31,2,33,3,0.461538,0.5,734.241355,0.000096
9412200,9412200,,54,26,23,49,7,0.258854,0.330325,9203.97665,0.000087
9506075,9506075,,54,36,31,67,9,0.245835,0.303374,87847.992056,0.000079
9506091,9506091,,54,23,36,59,9,0.23891,0.296969,112840.467856,0.000052
9506024,9506024,,54,15,13,28,8,0.239455,0.282199,7289.438445,0.000039
9506077,9506077,,37,37,32,69,9,0.203854,0.269076,74123.032344,0.000233
9506110,9506110,,54,96,23,119,9,0.227848,0.286983,85200.547982,0.000162
9506160,9506160,,2,84,11,95,8,0.23762,0.283229,8389.521348,0.000709
9506194,9506194,,2,102,16,118,8,0.241704,0.289499,43012.622863,0.000777
9507027,9507027,,54,47,14,61,9,0.231601,0.273795,4172.907495,0.000131
9207060,9207060,,2,54,0,54,0,0,0,0,0.001291
9503212,9503212,,54,46,10,56,7,0.255875,0.30396,132660.910634,0.000165
9506126,9506126,,2,159,41,200,8,0.261476,0.331708,190060.71838,0.000762
9506150,9506150,,37,74,13,87,8,0.238535,0.282336,25784.44549,0.000173
9507048,9507048,,2,159,9,168,9,0.216016,0.251712,8799.457982,0.000625
9303106,9303106,,2,3,4,7,3,0.402597,0.462366,2204.314466,0.000022
9410073,9410073,,2,150,6,156,4,0.475,0.592105,29235.334657,0.000811
9411187,9411187,,2,118,28,146,6,0.324873,0.387153,104899.159954,0.000295
9504081,9504081,,2,228,13,241,8,0.241744,0.295433,80171.995146,0.000586
9504095,9504095,,2,41,14,55,8,0.232707,0.27701,24248.235755,0.000289
9506057,9506057,,2,57,21,78,8,0.258653,0.317033,61417.668762,0.000178
9507090,9507090,,2,150,28,178,10,0.24257,0.303986,114924.235608,0.000356
9508056,9508056,,2,6,10,16,8,0.23581,0.283472,131.653701,0.000021
9304135,9304135,,37,37,4,41,5,0.35,0.513095,10328.324402,0.000071
9412209,9412209,,54,47,18,65,5,0.341317,0.42115,111606.251617,0.000069
9505073,9505073,,2,113,25,138,8,0.247849,0.304563,51392.285997,0.000385
9505150,9505150,,37,176,18,194,9,0.223245,0.27209,33811.980468,0.000203
9506084,9506084,,37,20,13,33,10,0.182319,0.236574,1280.468035,0.000058
9506102,9506102,,37,155,11,166,10,0.189103,0.227326,17366.956574,0.000206
9507113,9507113,,54,38,34,72,9,0.242796,0.305981,6886.924128,0.000051
9507115,9507115,,54,103,17,120,9,0.21937,0.261928,35695.204412,0.000169
9507121,9507121,,54,304,13,317,9,0.222754,0.262564,106319.210009,0.000858
9507151,9507151,,54,28,13,41,9,0.21933,0.261634,4861.514247,0.000042
9507153,9507153,,54,29,10,39,9,0.207234,0.244303,1167.030376,0.000039
9507168,9507168,,54,30,17,47,9,0.230556,0.275114,8621.429145,0.000071
9508044,9508044,,54,5,22,27,9,0.227775,0.281503,132253.348485,0.000021
9508064,9508064,,54,47,42,89,8,0.246805,0.304509,50099.824073,0.000187
9508071,9508071,,54,16,14,30,10,0.208455,0.250469,32442.683457,0.000046
9508096,9508096,,54,2,17,19,10,0.220602,0.266512,1613.133438,0.000015
9508143,9508143,,2,373,15,388,11,0.210069,0.256984,177267.580282,0.001196
9508144,9508144,,54,30,15,45,9,0.227346,0.268211,1746.208797,0.000065
9409110,9409110,,54,22,10,32,5,0.363636,0.448284,40295.258052,0.000059
9503208,9503208,,37,16,9,25,8,0.231321,0.274323,3681.814582,0.000026
9507012,9507012,,54,148,9,157,8,0.231946,0.270045,15498.709845,0.00047
9508154,9508154,,2,126,24,150,12,0.212425,0.269832,64957.104172,0.000391
9509009,9509009,,54,37,19,56,13,0.206035,0.261906,2474.30336,0.00005
9510093,9510093,,54,64,18,82,13,0.213159,0.266619,18079.785666,0.000082
9201056,9201056,,4,118,0,118,0,0,0,0,0.000913
9206080,9206080,,54,9,0,9,0,0,0,0,0.000054
9301083,9301083,,25,50,6,56,1,1,1,33728.499495,0.000149
9307158,9307158,,54,82,4,86,2,0.75,0.833333,5801.209849,0.000255
9308062,9308062,,25,5,12,17,3,0.44898,0.55303,64026.736515,0.000055
9407031,9407031,,2,136,9,145,7,0.275109,0.344785,147085.900736,0.001371
9506122,9506122,,54,56,17,73,9,0.211592,0.260475,317931.826088,0.00011
9509066,9509066,,37,223,38,261,9,0.20854,0.282769,179286.79545,0.000464
9510135,9510135,,2,775,15,790,12,0.201261,0.246577,217362.219912,0.002488
9510169,9510169,,2,388,9,397,11,0.201708,0.241343,80089.301799,0.001193
9204030,9204030,,54,75,1,76,1,1,1,515.989901,0.000525
9205009,9205009,,54,42,0,42,0,0,0,0,0.000289
9510017,9510017,,2,1155,10,1165,9,0.211287,0.249553,121990.888942,0.004205
9510173,9510173,,54,41,6,47,12,0.185012,0.216388,11095.569529,0.000244
9510182,9510182,,54,172,63,235,14,0.223532,0.312694,495754.359848,0.000281
9412236,9412236,,37,63,19,82,7,0.289352,0.357251,338760.550911,0.000098
9511164,9511164,,37,144,23,167,12,0.219573,0.267967,223975.318567,0.000235
9511222,9511222,,37,273,15,288,12,0.219214,0.259851,93441.550538,0.000799
9512016,9512016,,54,10,11,21,9,0.198404,0.230059,9116.266273,0.000105
9512017,9512017,,37,15,20,35,12,0.222681,0.272079,9507.003287,0.000023
9512059,9512059,,2,325,22,347,10,0.225332,0.267492,118409.540332,0.000878
9512145,9512145,,2,35,17,52,11,0.218707,0.257792,14555.878005,0.000079
9601014,9601014,,54,54,26,80,13,0.21616,0.267531,39916.441059,0.000084
9601038,9601038,,54,329,8,337,12,0.199006,0.231036,20964.042053,0.000697
9206101,9206101,,8,7,0,7,0,0,0,0,0.000068
9409111,9409111,,34,57,0,57,0,0,0,0,0.000329
9505183,9505183,,8,37,14,51,7,0.276814,0.326102,152180.935538,0.00013
9506101,9506101,,54,65,4,69,8,0.210614,0.237913,14525.520982,0.000208
9510086,9510086,,2,232,23,255,12,0.216548,0.269225,59793.477648,0.00082
9510161,9510161,,2,172,15,187,12,0.203028,0.246977,15341.42493,0.000678
9510209,9510209,,0,788,18,806,10,0.227017,0.270309,418620.671133,0.001751
9511080,9511080,,2,121,9,130,12,0.196911,0.233352,79446.324479,0.000258
9512077,9512077,,2,380,14,394,10,0.215373,0.250944,57985.16947,0.001016
9512181,9512181,,2,88,37,125,9,0.227747,0.278333,404348.532558,0.000307
9512196,9512196,,54,92,27,119,11,0.224338,0.267518,62578.930733,0.000258
9512219,9512219,,54,169,15,184,10,0.211571,0.246404,62522.659614,0.000601
9601036,9601036,,54,139,25,164,9,0.236462,0.279298,115946.761299,0.000316
9602010,9602010,,54,39,25,64,9,0.223262,0.26287,87318.127112,0.000135
9210127,9210127,,54,158,1,159,1,1,1,119.564662,0.000396
9304104,9304104,,54,45,1,46,1,1,1,4682.085979,0.000122
9506156,9506156,,2,19,22,41,9,0.259992,0.32784,106419.828862,0.000144
9508107,9508107,,37,21,13,34,7,0.273973,0.321125,78477.750485,0.000059
9509106,9509106,,2,15,67,82,9,0.267234,0.336358,470150.81542,0.000136
9512129,9512129,,54,46,46,92,9,0.254695,0.306936,125512.927385,0.00006
9512178,9512178,,2,35,7,42,10,0.21204,0.243763,17910.221275,0.000057
9602049,9602049,,2,110,15,125,9,0.225356,0.262031,164543.095354,0.00031
9602064,9602064,,2,185,30,215,9,0.231304,0.273393,143564.730013,0.000519
9602097,9602097,,54,42,25,67,10,0.236675,0.282356,22631.524199,0.000098
9602118,9602118,,54,33,16,49,10,0.219626,0.255683,5469.767765,0.000089
9512053,9512053,,54,46,15,61,11,0.219084,0.263953,11616.192196,0.000206
9602030,9602030,,54,79,15,94,9,0.213914,0.244715,18614.160038,0.000206
9602070,9602070,,54,325,18,343,15,0.190328,0.235157,642788.608272,0.000528
9602098,9602098,,11,2,2,4,4,0.384615,0.483333,52048.331006,0.00003
9602120,9602120,,54,122,18,140,16,0.179694,0.227101,145319.623007,0.000236
9404060,9404060,,54,9,4,13,2,0.7,0.785714,550.915307,0.000047
9511108,9511108,,54,73,26,99,11,0.224388,0.273068,37123.995695,0.000131
9511157,9511157,,54,24,31,55,10,0.246764,0.296439,134530.142693,0.000056
9602102,9602102,,54,38,30,68,16,0.182375,0.236873,22145.527879,0.000059
9603037,9603037,,54,71,20,91,17,0.179666,0.233951,110534.666791,0.00016
9511204,9511204,,54,25,14,39,12,0.206515,0.243506,2774.23653,0.00004
9512078,9512078,,2,101,21,122,10,0.229779,0.267433,79530.818738,0.000429
9509151,9509151,,37,53,13,66,10,0.21608,0.253254,198432.097056,0.000183
9511026,9511026,,2,79,7,86,13,0.198767,0.237262,8696.384459,0.000521
9511088,9511088,,2,79,11,90,12,0.206362,0.247846,9979.47003,0.000471
9601029,9601029,,2,651,27,678,9,0.251113,0.295495,582119.54543,0.001394
9601162,9601162,,37,16,7,23,10,0.214783,0.251323,26015.965758,0.00007
9602052,9602052,,2,406,51,457,9,0.241436,0.293176,364371.880748,0.001286
9603142,9603142,,54,494,4,498,11,0.191119,0.218714,21527.532916,0.000675
9309110,9309110,,54,55,9,64,2,0.764706,0.846154,56022.487545,0.000149
9403054,9403054,,37,12,4,16,3,0.5,0.595238,2282.60592,0.000035
9406090,9406090,,54,19,6,25,3,0.533333,0.645833,9663.776409,0.000082
9412117,9412117,,54,23,14,37,3,0.567164,0.662281,37138.194094,0.000034
9502012,9502012,,54,19,12,31,7,0.26694,0.309744,3608.60463,0.000024
9510055,9510055,,54,16,18,34,13,0.222017,0.265058,45121.891013,0.000022
9605036,9605036,,54,23,16,39,10,0.218552,0.25599,15337.29878,0.000035
9603081,9603081,,2,132,23,155,10,0.22618,0.266899,208039.583053,0.000526
9603127,9603127,,2,141,21,162,11,0.219454,0.258653,60525.410776,0.000553
9604198,9604198,,37,120,8,128,10,0.205438,0.234626,3904.290192,0.000298
9605150,9605150,,54,228,21,249,16,0.189057,0.237583,84742.848185,0.000327
9605199,9605199,,54,139,17,156,16,0.188321,0.234247,59289.678123,0.000254
9406178,9406178,,65,12,5,17,5,0.320113,0.380678,2698.805412,0.000053
9510227,9510227,,54,129,7,136,12,0.17937,0.209768,42358.265877,0.000417
9512062,9512062,,2,333,21,354,11,0.209841,0.251237,92513.386142,0.001107
9603042,9603042,,37,98,20,118,16,0.169714,0.221282,98869.126387,0.000211
9602167,9602167,,37,69,11,80,12,0.180128,0.212643,12798.826215,0.000176
9509132,9509132,,2,76,51,127,13,0.22639,0.304613,215475.800786,0.000247
9608039,9608039,,54,34,21,55,14,0.203053,0.247882,88886.906658,0.000068
9608079,9608079,,54,54,7,61,14,0.180989,0.212107,19108.046056,0.000076
9604097,9604097,,54,62,32,94,16,0.195208,0.249947,102500.148805,0.000113
9605154,9605154,,54,49,45,94,17,0.190265,0.252467,36087.578115,0.000057
9608111,9608111,,54,116,18,134,12,0.199565,0.236223,33323.798714,0.00016
9605131,9605131,,54,56,21,77,17,0.179263,0.2315,11955.427289,0.000098
9605200,9605200,,54,118,32,150,16,0.20734,0.264353,194187.713997,0.000117
9606044,9606044,,54,64,13,77,16,0.193034,0.23357,62517.929179,0.000075
9606086,9606086,,54,59,8,67,16,0.18414,0.223677,100460.806467,0.000067
9607020,9607020,,54,25,21,46,12,0.208596,0.24715,80025.856034,0.000046
9607139,9607139,,54,58,32,90,12,0.218766,0.263707,185133.723122,0.000058
9608024,9608024,,2,383,51,434,16,0.209321,0.271149,498037.444262,0.00095
9608047,9608047,,54,33,8,41,17,0.174308,0.210299,6678.756464,0.000048
9608109,9608109,,54,36,23,59,12,0.208117,0.244988,49593.868838,0.00005
9509042,9509042,,54,24,13,37,13,0.206173,0.256808,522.248504,0.000029
9509161,9509161,,37,201,17,218,13,0.197426,0.24875,272576.901757,0.000219
9510106,9510106,,54,44,15,59,9,0.232523,0.280627,159962.449449,0.000132
9602051,9602051,,2,201,18,219,10,0.224404,0.260057,39597.368032,0.000609
9603108,9603108,,54,42,43,85,17,0.184417,0.251329,55561.732141,0.000039
9608194,9608194,,54,24,20,44,12,0.208029,0.247278,19112.257262,0.000037
9511077,9511077,,4,13,7,20,7,0.327935,0.405996,51241.508181,0.000037
9512226,9512226,,54,6,37,43,11,0.235167,0.287679,41305.204392,0.000015
9603170,9603170,,54,64,39,103,17,0.179888,0.239386,103237.409872,0.000064
9604034,9604034,,37,217,56,273,16,0.208326,0.273963,569419.311702,0.000196
9609161,9609161,,54,59,17,76,13,0.193055,0.230069,55816.268198,0.000131
9604129,9604129,,54,136,24,160,10,0.222738,0.262902,18620.059054,0.000209
9606165,9606165,,54,102,11,113,18,0.161564,0.205116,8828.48096,0.000221
9610111,9610111,,54,20,20,40,12,0.203414,0.238777,16465.741349,0.000033
9602065,9602065,,2,137,10,147,10,0.216794,0.248282,29081.251645,0.000394
9604030,9604030,,54,116,15,131,17,0.178698,0.229547,43110.351787,0.000211
9605053,9605053,,54,107,11,118,18,0.161744,0.205689,22850.784901,0.000122
9606122,9606122,,54,112,23,135,16,0.192234,0.24369,36228.579988,0.00013
9606148,9606148,,54,27,30,57,12,0.215,0.258646,85871.484162,0.000032
9607091,9607091,,54,42,4,46,12,0.18283,0.209444,3394.764583,0.000046
9607105,9607105,,54,16,24,40,12,0.209189,0.249577,120335.79219,0.000026
