Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Authority,Hub,componentnumber,strongcompnum,modularity_class,pageranks,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,eigencentrality
9510234,9510234,,92,37,129,92,37,129,0.009906,0.007165,0,1508,0,0.00009,13,0.218606,0.283459,25039.293958,0.097989,0.044365
9511030,9511030,,329,21,350,329,21,350,0.037949,0.009299,0,1254,0,0.001124,12,0.209629,0.258677,88632.875455,0.026279,0.243154
9511171,9511171,,49,22,71,49,22,71,0.00437,0.008307,0,1543,0,0.000079,13,0.220753,0.272324,4087.725042,0.146479,0.027245
9601108,9601108,,95,39,134,95,39,134,0.008729,0.010659,0,1630,0,0.000143,11,0.237891,0.292229,76620.167707,0.08237,0.056405
9602022,9602022,,520,25,545,520,25,545,0.051067,0.009519,0,1536,0,0.00095,9,0.238695,0.277863,340931.686531,0.019313,0.287225
9602114,9602114,,252,34,286,252,34,286,0.02375,0.007741,0,1684,0,0.000427,9,0.252717,0.297169,259007.379488,0.044988,0.138857
9603003,9603003,,194,20,214,194,20,214,0.01957,0.004926,0,1762,0,0.000471,9,0.22492,0.260346,190199.860296,0.049164,0.13848
9603150,9603150,,148,26,174,148,26,174,0.012216,0.006069,0,1902,0,0.000291,9,0.235496,0.273725,68241.905364,0.047605,0.080103
9603161,9603161,,274,32,306,274,32,306,0.024868,0.007775,0,1785,0,0.0004,9,0.235488,0.277271,95209.033905,0.039634,0.140562
9603167,9603167,,467,16,483,467,16,483,0.058886,0.006286,0,1793,52,0.00078,10,0.232347,0.269487,169970.188659,0.021533,0.273926
9605184,9605184,,148,22,170,148,22,170,0.014655,0.010439,0,2212,0,0.000211,9,0.228025,0.265674,21034.149366,0.063975,0.081254
9605222,9605222,,24,23,47,24,23,47,0.001321,0.004333,0,2724,0,0.000029,10,0.223029,0.262289,46253.939154,0.103608,0.009044
9606017,9606017,,110,14,124,110,14,124,0.01153,0.006245,0,2194,0,0.00028,9,0.218782,0.248967,38770.480134,0.054747,0.069054
9606040,9606040,,118,6,124,118,6,124,0.008264,0.001242,0,2717,0,0.000162,10,0.206877,0.237201,28051.481257,0.029045,0.057469
9607163,9607163,,186,7,193,186,7,193,0.013531,0.002918,0,2835,4,0.00034,10,0.200207,0.224824,37301.50597,0.030926,0.092936
9607207,9607207,,127,11,138,127,11,138,0.010831,0.003764,0,3022,4,0.000209,10,0.204849,0.232165,37711.266845,0.051465,0.062339
9608086,9608086,,28,10,38,28,10,38,0.001967,0.002815,0,3129,0,0.000042,12,0.205007,0.236377,9322.02435,0.094595,0.012342
9609070,9609070,,81,15,96,81,15,96,0.007012,0.002826,0,3056,0,0.0001,12,0.208333,0.243563,22372.042387,0.058443,0.039421
9609071,9609071,,65,30,95,65,30,95,0.005507,0.006883,0,3033,0,0.000073,12,0.22749,0.267263,39714.429113,0.08981,0.032944
9609239,9609239,,145,41,186,145,41,186,0.014736,0.011182,0,3055,0,0.000104,13,0.220225,0.267682,84072.096341,0.050218,0.060913
9611137,9611137,,139,65,204,139,65,204,0.018491,0.018148,0,3435,0,0.000098,14,0.216316,0.279168,185775.905917,0.049092,0.050653
9612108,9612108,,37,25,62,37,25,62,0.003242,0.007719,0,3700,0,0.000046,13,0.211029,0.249964,6910.894422,0.13009,0.015379
9701162,9701162,,114,23,137,114,23,137,0.006872,0.002284,0,3712,0,0.000114,12,0.217772,0.253316,96276.275934,0.049646,0.041255
9702094,9702094,,62,37,99,62,37,99,0.005515,0.005667,0,3688,4,0.000067,12,0.213662,0.256563,260942.577869,0.051948,0.020267
9702155,9702155,,63,30,93,63,30,93,0.00847,0.0102,0,3431,0,0.000068,13,0.204631,0.247646,43095.427723,0.049322,0.0233
9702198,9702198,,59,31,90,59,31,90,0.005718,0.00454,0,3699,0,0.000058,12,0.223269,0.264172,45216.873977,0.072534,0.024786
9703082,9703082,,49,30,79,49,30,79,0.005008,0.003532,0,4031,0,0.000044,11,0.210014,0.244496,85665.333143,0.056313,0.015113
9703166,9703166,,424,22,446,424,22,446,0.049818,0.006119,0,4040,4,0.000337,13,0.196018,0.233683,171267.624652,0.02423,0.178838
9704097,9704097,,29,30,59,29,30,59,0.001979,0.003216,0,4202,0,0.000028,13,0.212411,0.252959,37225.660103,0.120397,0.009931
9705030,9705030,,70,26,96,70,26,96,0.008592,0.008213,0,4192,0,0.000064,12,0.210303,0.246373,15757.030603,0.081579,0.031588
9705044,9705044,,71,27,98,71,27,98,0.008601,0.006253,0,4191,0,0.000054,12,0.210717,0.243487,484497.15295,0.07206,0.030643
9705104,9705104,,65,34,99,65,34,99,0.005584,0.007271,0,4203,0,0.000079,12,0.220368,0.257927,114947.144288,0.083591,0.027045
9705220,9705220,,39,56,95,39,56,95,0.003422,0.007763,0,4204,4,0.000032,12,0.223447,0.267031,52907.388879,0.091825,0.015993
9706005,9706005,,11,15,26,11,15,26,0.000959,0.005219,0,4337,0,0.000016,13,0.197851,0.230164,1223.876378,0.195385,0.004679
9707014,9707014,,16,20,36,16,20,36,0.001722,0.00689,0,4959,0,0.00002,13,0.199388,0.235233,30060.600554,0.119841,0.006364
9707042,9707042,,43,18,61,43,18,61,0.004852,0.006882,0,4286,2,0.000044,15,0.194495,0.230726,19641.464151,0.07377,0.017374
9707049,9707049,,16,25,41,16,25,41,0.000897,0.00351,0,5030,0,0.000025,13,0.203838,0.241353,23433.593784,0.162805,0.004212
9710230,9710230,,139,10,149,139,10,149,0.011869,0.003952,0,5163,3,0.000149,14,0.175544,0.203721,33677.078658,0.046209,0.070004
9711036,9711036,,8,23,31,8,23,31,0.00045,0.001442,0,7317,0,0.000019,15,0.187094,0.220896,53938.092587,0.112903,0.002693
9711104,9711104,,17,7,24,17,7,24,0.001179,0.000416,0,4919,0,0.000024,13,0.185447,0.210544,2841.913069,0.161232,0.006706
9712028,9712028,,129,26,155,129,26,155,0.009154,0.007271,0,4950,0,0.000167,12,0.204911,0.239252,185596.578858,0.042941,0.052479
9712042,9712042,,14,7,21,14,7,21,0.000785,0.001479,0,6074,4,0.000017,13,0.184048,0.211105,13326.726248,0.078571,0.004162
9802194,9802194,,22,22,44,22,22,44,0.001481,0.002982,0,5858,0,0.000023,13,0.193758,0.226549,14755.67198,0.124736,0.007044
9805056,9805056,,17,13,30,17,13,30,0.001394,0.002244,0,7289,0,0.000017,16,0.186181,0.215409,13235.238106,0.131034,0.005266
9805206,9805206,,11,20,31,11,20,31,0.000749,0.004436,0,7615,0,0.000015,16,0.179909,0.21159,7527.831411,0.190323,0.003255
9806094,9806094,,22,21,43,22,21,43,0.001277,0.003045,0,8551,0,0.000022,17,0.171465,0.206611,9642.517536,0.108527,0.007422
9810188,9810188,,328,30,358,328,30,358,0.021418,0.007922,0,7982,3,0.00035,14,0.212864,0.240983,413569.536586,0.034333,0.157636
9811217,9811217,,24,58,82,24,58,82,0.001544,0.007643,0,8563,0,0.00002,15,0.199091,0.241258,22861.251983,0.104938,0.007682
9905036,9905036,,14,18,32,14,18,32,0.001373,0.003389,0,8674,0,0.000019,14,0.168895,0.200116,2620.09201,0.089718,0.003706
9907041,9907041,,12,4,16,12,4,16,0.000614,0.000645,0,8548,0,0.000016,13,0.173062,0.190478,2272.886556,0.108333,0.003886
9908007,9908007,,11,27,38,11,27,38,0.000281,0.004724,0,8673,0,0.000018,15,0.171935,0.201532,14528.13102,0.072546,0.003345
9908144,9908144,,54,41,95,54,41,95,0.004139,0.017337,0,8670,3,0.000041,14,0.197478,0.229937,95998.740904,0.080627,0.017389
9909108,9909108,,23,24,47,23,24,47,0.001514,0.004446,0,8583,52,0.000034,14,0.195798,0.223772,37737.706004,0.087419,0.006981
9909120,9909120,,22,4,26,22,4,26,0.001038,0.000035,0,8584,52,0.00003,15,0.168218,0.185935,3098.811952,0.130769,0.006254
9909229,9909229,,18,27,45,18,27,45,0.001758,0.005897,0,8552,0,0.000018,12,0.215345,0.241621,77316.893635,0.091919,0.005137
9910238,9910238,,11,21,32,11,21,32,0.001118,0.004743,0,8558,0,0.000014,13,0.185745,0.206917,5294.071138,0.150202,0.0033
9910248,9910248,,5,31,36,5,31,36,0.000515,0.005322,0,8559,0,0.000012,13,0.190331,0.215301,2197.745694,0.135714,0.001498
9910268,9910268,,5,27,32,5,27,32,0.000569,0.003967,0,8569,0,0.000012,13,0.193707,0.218637,20783.840019,0.184476,0.001546
9204040,9204040,,11,0,11,11,0,11,0.000379,0,0,119,0,0.000147,0,0,0,0,0.045455,0.007594
9203084,9203084,,33,0,33,33,0,33,0.000978,0,0,204,0,0.000573,0,0,0,0,0.09375,0.018514
9204035,9204035,,40,0,40,40,0,40,0.002318,0,0,121,0,0.000435,0,0,0,0,0.073077,0.025018
9205041,9205041,,34,0,34,34,0,34,0.001047,0,0,203,0,0.00055,0,0,0,0,0.079323,0.018167
9207049,9207049,,16,0,16,16,0,16,0.000174,0,0,116,0,0.000121,0,0,0,0,0.020833,0.010361
9207111,9207111,,18,0,18,18,0,18,0.000603,0,0,115,0,0.000144,0,0,0,0,0.098039,0.011099
9301042,9301042,,344,0,344,344,0,344,0.017677,0,0,109,52,0.001886,0,0,0,0,0.019128,0.171973
9301043,9301043,,69,0,69,69,0,69,0.002924,0,0,108,0,0.000803,0,0,0,0,0.028133,0.035111
9201015,9201015,,14,0,14,14,0,14,0.000076,0,0,13,13,0.002001,0,0,0,0,0.148352,0.011359
9201040,9201040,,35,0,35,35,0,35,0.001103,0,0,21,3,0.000607,0,0,0,0,0.048739,0.01923
9201047,9201047,,12,0,12,12,0,12,0.000164,0,0,124,0,0.000096,0,0,0,0,0.05303,0.008156
9202046,9202046,,91,0,91,91,0,91,0.001538,0,0,28,0,0.000897,0,0,0,0,0.03602,0.03633
9202059,9202059,,33,0,33,33,0,33,0.000428,0,0,37,0,0.000413,0,0,0,0,0.113636,0.01591
9202092,9202092,,64,0,64,64,0,64,0.001805,0,0,48,13,0.000533,0,0,0,0,0.03869,0.028501
9203008,9203008,,9,0,9,9,0,9,0.000236,0,0,123,28,0.000151,0,0,0,0,0.069444,0.007149
9203031,9203031,,17,0,17,17,0,17,0.001278,0,0,122,0,0.000198,0,0,0,0,0.102941,0.025737
9204037,9204037,,4,0,4,4,0,4,0.000022,0,0,120,0,0.000072,0,0,0,0,0,0.005305
9204046,9204046,,66,0,66,66,0,66,0.002755,0,0,70,13,0.000772,0,0,0,0,0.034266,0.034966
9205046,9205046,,58,0,58,58,0,58,0.001832,0,0,76,13,0.000312,0,0,0,0,0.040835,0.027375
9205060,9205060,,3,0,3,3,0,3,0.00007,0,0,118,25,0.000083,0,0,0,0,0,0.006199
9205062,9205062,,8,2,10,8,2,10,0.00003,0.000001,0,44,13,0.000316,1,1,1,2984.049742,0.222222,0.007767
9205068,9205068,,158,0,158,158,0,158,0.005262,0,0,31,0,0.00119,0,0,0,0,0.029711,0.066914
9206023,9206023,,3,0,3,3,0,3,0.000015,0,0,117,9,0.00012,0,0,0,0,0,0.005538
9206051,9206051,,19,0,19,19,0,19,0.000086,0,0,57,13,0.00021,0,0,0,0,0.046784,0.010587
9206078,9206078,,76,2,78,76,2,78,0.001481,0.000007,0,45,13,0.00035,2,0.666667,0.75,5711.612914,0.036464,0.031569
9207016,9207016,,218,1,219,218,1,219,0.016812,0.000001,0,14,13,0.001735,1,1,1,5346.824535,0.024632,0.131098
9208076,9208076,,22,0,22,22,0,22,0.000312,0,0,54,13,0.000129,0,0,0,0,0.0671,0.01295
9209052,9209052,,40,4,44,40,4,44,0.000961,0.000015,0,74,13,0.00028,2,0.833333,0.9,6443.263579,0.045983,0.018261
9210015,9210015,,37,0,37,37,0,37,0.001379,0,0,73,13,0.000223,0,0,0,0,0.093093,0.020436
9210021,9210021,,104,0,104,104,0,104,0.002689,0,0,114,13,0.000641,0,0,0,0,0.084018,0.040583
9210121,9210121,,39,4,43,39,4,43,0.000452,0.000035,0,72,13,0.000319,1,1,1,12243.099106,0.063123,0.019637
9211021,9211021,,199,0,199,199,0,199,0.004725,0,0,113,0,0.000696,0,0,0,0,0.044871,0.074677
9211041,9211041,,7,2,9,7,2,9,0.000188,0.000033,0,112,13,0.000079,1,1,1,18.558372,0.083333,0.006185
9212089,9212089,,3,1,4,3,1,4,0.000028,0.000018,0,111,0,0.000073,1,1,1,0.166667,0.416667,0.005193
9301005,9301005,,13,2,15,13,2,15,0.000129,0.000006,0,110,13,0.00011,2,0.6,0.666667,107.716664,0.161905,0.009926
9302033,9302033,,80,9,89,80,9,89,0.001825,0.000138,0,78,13,0.000366,2,0.714286,0.8,30582.959274,0.050689,0.036243
9302069,9302069,,4,5,9,4,5,9,0.000149,0.00005,0,107,13,0.000077,2,0.727273,0.8125,2541.956581,0.152778,0.005328
9302126,9302126,,111,10,121,111,10,121,0.009154,0.000555,0,106,13,0.000465,3,0.446154,0.517241,111145.169146,0.030923,0.052307
9303032,9303032,,20,7,27,20,7,27,0.002471,0.000471,0,61,13,0.000082,1,1,1,34626.972402,0.074074,0.010501
9304155,9304155,,15,6,21,15,6,21,0.001451,0.000032,0,56,13,0.000098,4,0.52,0.679487,17808.652452,0.083333,0.010527
9305185,9305185,,171,13,184,171,13,184,0.014495,0.000944,0,22,13,0.002477,2,0.740741,0.825,24576.18498,0.044458,0.13526
9308042,9308042,,22,3,25,22,3,25,0.000772,0.000012,0,53,13,0.000105,4,0.464286,0.564103,13152.898027,0.105,0.01388
9305139,9305139,,51,0,51,51,0,51,0.003927,0,0,182,13,0.000576,0,0,0,0,0.041961,0.044176
9309140,9309140,,194,19,213,194,19,213,0.011285,0.000616,0,178,0,0.000652,3,0.637931,0.743243,151871.288899,0.031181,0.094417
9204102,9204102,,71,0,71,71,0,71,0.002804,0,0,34,4,0.002208,0,0,0,0,0.026559,0.052404
9211097,9211097,,81,1,82,81,1,82,0.0048,0.000001,0,127,4,0.001367,1,1,1,10467.950917,0.041102,0.060796
9402002,9402002,,282,14,296,282,14,296,0.023863,0.000987,0,40,13,0.003447,3,0.69697,0.797101,45267.609491,0.025596,0.203995
9402005,9402005,,58,7,65,58,7,65,0.002674,0.000279,0,38,0,0.001501,2,0.769231,0.85,33019.672071,0.05625,0.054024
9402044,9402044,,257,0,257,257,0,257,0.012325,0,0,0,4,0.00451,0,0,0,0,0.035688,0.135976
9403195,9403195,,88,1,89,88,1,89,0.003777,0.000038,0,27,4,0.001046,1,1,1,2965.021779,0.048391,0.041904
9403198,9403198,,124,1,125,124,1,125,0.004128,0.000145,0,25,4,0.001797,1,1,1,33.748127,0.064194,0.081135
9406128,9406128,,29,5,34,29,5,34,0.001685,0.000434,0,24,4,0.001101,3,0.52381,0.590909,4169.992942,0.107843,0.033384
9205081,9205081,,77,0,77,77,0,77,0.004427,0,0,5,13,0.001942,0,0,0,0,0.046822,0.052172
9207053,9207053,,102,0,102,102,0,102,0.008317,0,0,9,13,0.002581,0,0,0,0,0.058241,0.088961
9208055,9208055,,32,1,33,32,1,33,0.001702,0.000003,0,3,13,0.001868,1,1,1,3704.327614,0.096591,0.034176
9209016,9209016,,75,0,75,75,0,75,0.006147,0,0,8,13,0.001894,0,0,0,0,0.071712,0.058906
9211056,9211056,,68,4,72,68,4,72,0.004596,0.00025,0,10,13,0.00184,1,1,1,1184.807078,0.070227,0.069616
9303057,9303057,,54,10,64,54,10,64,0.003716,0.000698,0,16,13,0.00148,2,0.857143,0.916667,3898.158141,0.096726,0.054991
9305142,9305142,,87,4,91,87,4,91,0.008024,0.000106,0,7,13,0.000953,2,0.833333,0.9,6158.673817,0.057021,0.068118
9306052,9306052,,101,6,107,101,6,107,0.010935,0.0004,0,288,13,0.000647,2,0.666667,0.75,21607.690188,0.042321,0.084615
9306125,9306125,,6,3,9,6,3,9,0.00025,0.00027,0,286,13,0.000117,3,0.457143,0.53125,66.89774,0.194444,0.008675
9311120,9311120,,60,7,67,60,7,67,0.003848,0.000644,0,285,13,0.000569,3,0.538462,0.634921,1495.906916,0.088422,0.053696
9402032,9402032,,240,4,244,240,4,244,0.023122,0.000368,0,190,0,0.00199,3,0.488889,0.55303,12065.352345,0.022701,0.164708
9406105,9406105,,87,9,96,87,9,96,0.007344,0.001069,0,339,13,0.000557,3,0.553571,0.629032,2409.141792,0.085197,0.061402
9406198,9406198,,41,25,66,41,25,66,0.005611,0.001477,0,369,0,0.000388,3,0.61039,0.737589,59947.950608,0.076457,0.034522
9407021,9407021,,9,9,18,9,9,18,0.000691,0.000733,0,359,13,0.000131,3,0.611111,0.69697,284.836875,0.160131,0.008983
9407111,9407111,,38,7,45,38,7,45,0.003128,0.000492,0,305,0,0.000955,3,0.580645,0.675926,4455.364308,0.101515,0.048016
9408040,9408040,,31,16,47,31,16,47,0.001905,0.000557,0,358,13,0.000159,5,0.353147,0.412624,60596.190549,0.084644,0.023173
9408074,9408074,,290,9,299,290,9,299,0.027868,0.000846,0,192,4,0.001744,5,0.358779,0.424823,180088.274134,0.018204,0.195927
9408083,9408083,,82,27,109,82,27,109,0.005085,0.00326,0,329,13,0.000875,6,0.313475,0.405807,145717.301188,0.053772,0.062182
9409021,9409021,,101,14,115,101,14,115,0.006173,0.000572,0,345,13,0.000286,4,0.382812,0.468537,35362.595406,0.04119,0.051691
9410167,9410167,,748,25,773,748,25,773,0.088918,0.002949,0,340,0,0.003912,6,0.332,0.412249,228947.418264,0.01548,0.498389
9410210,9410210,,3,6,9,3,6,9,0.000134,0.000434,0,300,13,0.000065,3,0.534884,0.608696,167.233987,0.180556,0.003374
9412184,9412184,,426,36,462,426,36,462,0.050075,0.003083,0,299,13,0.001743,5,0.385305,0.473333,370915.011706,0.013095,0.226178
9205027,9205027,,191,0,191,191,0,191,0.011048,0,0,15,13,0.003095,0,0,0,0,0.035575,0.134327
9406012,9406012,,13,0,13,13,0,13,0.00106,0,0,483,0,0.000668,0,0,0,0,0.096154,0.020664
9411149,9411149,,411,11,422,411,11,422,0.026464,0.003092,0,195,4,0.001648,6,0.276989,0.337265,39032.550945,0.023781,0.194772
9411178,9411178,,30,17,47,30,17,47,0.00304,0.004838,0,482,0,0.000869,6,0.306291,0.362252,205004.438969,0.105458,0.037698
9201059,9201059,,47,0,47,47,0,47,0.001867,0,0,101,13,0.001142,0,0,0,0,0.017114,0.021758
9309152,9309152,,8,3,11,8,3,11,0.000917,0.000051,0,600,13,0.000561,4,0.306122,0.357407,17384.55878,0.063636,0.007842
9310067,9310067,,9,3,12,9,3,12,0.000325,0.000113,0,905,0,0.000048,2,0.8,0.875,4274.966462,0.075758,0.003277
9412115,9412115,,6,14,20,6,14,20,0.00051,0.000945,0,811,0,0.000035,4,0.440678,0.521368,9019.445072,0.115789,0.004392
9501068,9501068,,385,6,391,385,6,391,0.0528,0.001107,0,569,2,0.001984,3,0.476923,0.548387,11655.620076,0.020592,0.267752
9502072,9502072,,151,23,174,151,23,174,0.011395,0.00518,0,584,0,0.000667,7,0.26901,0.340927,45101.669975,0.060428,0.093588
9504027,9504027,,142,20,162,142,20,162,0.0159,0.005417,0,582,0,0.001112,7,0.282405,0.330749,155080.381711,0.055326,0.112702
9504047,9504047,,158,22,180,158,22,180,0.018447,0.006781,0,586,0,0.001807,8,0.268497,0.321261,61159.364629,0.057387,0.151607
9304154,9304154,,229,9,238,229,9,238,0.014647,0.000566,0,19,2,0.002838,2,0.714286,0.8,12407.922707,0.028011,0.132854
9501022,9501022,,36,4,40,36,4,40,0.002958,0.000899,0,571,4,0.000253,6,0.284024,0.334722,588.952259,0.077564,0.023088
9502057,9502057,,33,20,53,33,20,53,0.002544,0.004454,0,574,4,0.000158,7,0.280727,0.347335,38619.577545,0.095791,0.014759
9503179,9503179,,138,18,156,138,18,156,0.006985,0.004004,0,207,4,0.000384,6,0.283951,0.357166,13485.357037,0.070182,0.067229
9308083,9308083,,104,4,108,104,4,108,0.005797,0.000085,0,588,0,0.000336,1,1,1,3840.630849,0.055556,0.059084
9411048,9411048,,314,2,316,314,2,316,0.023808,0.001091,0,201,4,0.000917,6,0.271008,0.310336,5202.755353,0.042465,0.17981
9411057,9411057,,268,2,270,268,2,270,0.020319,0.00186,0,199,4,0.000844,6,0.263804,0.29832,613.974566,0.047721,0.15824
9501111,9501111,,19,7,26,19,7,26,0.00062,0.000795,0,648,0,0.000065,5,0.336761,0.400636,22065.093926,0.163077,0.009687
9502077,9502077,,68,24,92,68,24,92,0.00364,0.001133,0,616,0,0.000158,5,0.380252,0.469982,99259.548081,0.070592,0.034048
9503163,9503163,,144,9,153,144,9,153,0.01413,0.002846,0,209,4,0.000403,7,0.250617,0.301361,4952.495,0.066477,0.091776
9504006,9504006,,145,23,168,145,23,168,0.010279,0.004372,0,642,0,0.000317,8,0.251969,0.326597,73982.046726,0.066759,0.070787
9504034,9504034,,111,9,120,111,9,120,0.009893,0.00313,0,602,0,0.000213,8,0.235737,0.292816,4053.988089,0.084524,0.060332
9505023,9505023,,35,14,49,35,14,49,0.002733,0.003887,0,597,0,0.000444,8,0.242188,0.290418,15178.037076,0.123299,0.037415
9505053,9505053,,136,6,142,136,6,142,0.012647,0.002224,0,598,0,0.001242,8,0.238577,0.276225,14247.541841,0.04585,0.115898
9505062,9505062,,174,14,188,174,14,188,0.015523,0.003475,0,210,4,0.000462,7,0.260546,0.328617,15818.122676,0.055467,0.108072
9302103,9302103,,133,1,134,133,1,134,0.008366,0.000033,0,35,0,0.000894,1,1,1,1160.578817,0.041017,0.073584
9305069,9305069,,29,2,31,29,2,31,0.001506,0.000192,0,39,13,0.000469,3,0.457143,0.510417,92.569019,0.078495,0.025467
9406032,9406032,,13,8,21,13,8,21,0.000595,0.000757,0,653,0,0.000103,4,0.434783,0.498611,4380.146814,0.109524,0.013178
9409188,9409188,,87,2,89,87,2,89,0.006428,0.000224,0,651,52,0.000131,2,0.75,0.833333,3164.849633,0.057074,0.039967
9406055,9406055,,68,15,83,68,15,83,0.004061,0.000756,0,596,0,0.000188,2,0.741935,0.826087,24423.754493,0.073612,0.034864
9408036,9408036,,64,8,72,64,8,72,0.005484,0.002036,0,200,4,0.00063,5,0.349727,0.419792,5877.674609,0.098005,0.044922
9411234,9411234,,31,2,33,31,2,33,0.002308,0.000149,0,871,0,0.00011,3,0.461538,0.5,737.445711,0.110795,0.016884
9412200,9412200,,26,23,49,26,23,49,0.002603,0.005202,0,640,0,0.000096,7,0.269478,0.341329,9124.119983,0.130952,0.018859
9506075,9506075,,36,31,67,36,31,67,0.003455,0.007839,0,870,0,0.000086,9,0.251251,0.308827,89010.719304,0.147445,0.02374
9506091,9506091,,23,36,59,23,36,59,0.001988,0.004046,0,794,0,0.000056,9,0.243484,0.301884,113633.83561,0.114845,0.013888
9506024,9506024,,15,13,28,15,13,28,0.001221,0.004964,0,813,0,0.000041,8,0.246198,0.288778,7532.095214,0.198413,0.009477
9506077,9506077,,37,32,69,37,32,69,0.003108,0.005089,0,890,4,0.000257,9,0.207508,0.274768,73463.154217,0.118286,0.028755
9506110,9506110,,96,23,119,96,23,119,0.01081,0.00399,0,879,0,0.000185,9,0.236071,0.295448,85725.705353,0.113873,0.054599
9506160,9506160,,84,11,95,84,11,95,0.011106,0.005263,0,883,0,0.000866,8,0.245019,0.29087,8323.748155,0.092049,0.098461
9506194,9506194,,102,16,118,102,16,118,0.013503,0.005348,0,884,0,0.000943,8,0.246086,0.293465,41525.435246,0.07743,0.107862
9507027,9507027,,47,14,61,47,14,61,0.003986,0.005126,0,882,0,0.000155,9,0.233519,0.275766,4221.969418,0.120492,0.028823
9207060,9207060,,54,0,54,54,0,54,0.00704,0,0,215,2,0.001605,0,0,0,0,0.067086,0.063592
9503212,9503212,,46,10,56,46,10,56,0.002253,0.000537,0,920,0,0.000186,7,0.256614,0.304921,134504.639307,0.076623,0.024156
9506126,9506126,,159,41,200,159,41,200,0.017883,0.00726,0,1137,0,0.000854,8,0.266326,0.337518,185734.998345,0.038593,0.115629
